# Datetime, equity ($), cash flow ($)
2024-02-01 15:04:39.306145,1132.09,0
2024-02-01 15:14:53.577960,1132.09,0
2024-02-01 15:24:51.408411,1132.09,0
2024-02-01 15:34:22.687735,1132.09,0
2024-02-01 15:44:48.882514,1132.09,0
2024-02-01 15:54:52.119256,1132.09,0
2024-02-01 16:04:34.965402,1132.09,0
2024-02-01 16:13:45.957452,1132.09,0
2024-02-01 16:24:40.409685,1132.09,0
2024-02-01 16:34:48.574586,1132.09,0
2024-02-01 16:43:14.674925,1132.09,0
2024-02-01 16:53:44.149222,1132.09,0
2024-02-01 17:03:44.021568,1132.09,0
2024-02-01 17:14:52.690303,1132.09,0
2024-02-01 17:24:51.380271,1132.09,0
2024-02-01 17:34:49.463592,1132.09,0
2024-02-01 17:42:59.458551,1132.09,0
2024-02-01 17:54:15.532704,1132.09,0
2024-02-01 18:04:44.127737,1132.09,0
2024-02-01 18:14:43.683079,1132.09,0
2024-02-01 18:24:40.650736,1132.09,0
2024-02-01 18:34:52.525401,1132.09,0
2024-02-01 18:44:48.768703,1132.09,0
2024-02-01 18:54:49.005258,1132.09,0
2024-02-01 19:04:43.090284,1132.09,0
2024-02-01 19:13:38.569688,1132.09,0
2024-02-01 19:24:52.151538,1132.09,0
2024-02-01 19:33:56.010667,1132.09,0
2024-02-01 19:44:51.485381,1132.09,0
2024-02-01 19:58:44.449642,1132.09,0
2024-02-01 20:09:07.338785,1132.09,0
2024-02-01 20:20:13.444861,1132.09,0
2024-02-01 20:29:36.772036,1132.09,0
2024-02-01 20:38:53.376304,1132.09,0
2024-02-01 20:48:53.052104,1132.09,0
2024-02-01 20:58:51.249949,1132.09,0
2024-02-01 21:08:49.982952,1132.09,0
2024-02-01 21:19:42.500947,1132.09,0
2024-02-01 21:29:56.401259,1132.09,0
2024-02-01 21:39:02.329145,1132.09,0
2024-02-01 21:48:52.292620,1132.09,0
2024-02-01 21:59:50.962078,1132.09,0
2024-02-02 15:04:51.002789,1132.09,0
2024-02-02 15:14:43.056348,1132.09,0
2024-02-02 15:24:37.365886,1132.09,0
2024-02-02 15:34:49.911333,1132.09,0
2024-02-02 15:44:44.182886,1132.09,0
2024-02-02 15:52:39.023864,1132.09,0
2024-02-02 15:59:21.375968,1132.09,0
2024-02-02 16:09:43.802120,1132.09,0
2024-02-02 16:19:36.708009,1132.09,0
2024-02-02 16:28:55.155854,1132.09,0
2024-02-02 16:38:53.156061,1132.09,0
2024-02-02 16:49:45.076295,1132.09,0
2024-02-02 16:59:38.487702,1132.09,0
